X,Y,Z,Cancers
3.198798206330300218e+02,-1.666766593734177491e+02,-2.162457266414130572e+02,1.000000000000000000e+00
1.420795938108897474e+02,-4.642480846250326181e+02,1.008037581044624034e+02,1.000000000000000000e+00
3.649562572182272788e+02,-4.977436978869859274e+01,-3.679395071826944559e+02,1.000000000000000000e+00
1.886224400343414231e+02,-3.029762334921647948e+02,8.708202314251325049e+01,1.000000000000000000e+00
1.384844985891409976e+02,-4.429317915525671765e+02,1.047541705234862661e+02,1.000000000000000000e+00
3.947701365603130057e+02,1.154272971002670829e+02,-3.716945305185357711e+02,1.000000000000000000e+00
2.948003730661004056e+02,-4.673711340891737365e+01,-1.957023225800608088e+02,1.000000000000000000e+00
2.733880482791827262e+02,3.356996245312344627e+02,-2.999795997039692352e+00,1.000000000000000000e+00
2.959823180755340672e+02,2.392159147157214534e+02,1.289508686389975765e+02,1.000000000000000000e+00
3.963372973513970692e+02,1.178610175004685772e+02,-4.414648263358013196e+02,1.000000000000000000e+00
1.791021717457688567e+02,-3.684389715580518327e+02,8.213652990761522688e+01,1.000000000000000000e+00
2.330114546065039463e+02,-1.258983580567886946e+02,7.861196792454639137e+01,1.000000000000000000e+00
3.750896755984837228e+02,1.081961776418209276e+01,-4.830771989380608034e+02,1.000000000000000000e+00
1.112818037070511963e+02,-4.984831079343731517e+02,1.042171566338085995e+02,1.000000000000000000e+00
3.357793158601566574e+02,2.270133263644014505e+02,-4.390778199804070425e+01,1.000000000000000000e+00
3.246270498445700241e+02,-1.090267542787822492e+02,-1.319801605336499506e+02,1.000000000000000000e+00
2.342739938200108440e+02,-2.716581522468594585e+02,3.293846502844836266e+01,1.000000000000000000e+00
1.416727167916001520e+02,-4.159313938526933612e+02,1.485788203937662502e+02,1.000000000000000000e+00
2.863790859168374823e+02,-3.007906191523949246e+02,-1.877690872280161898e+02,1.000000000000000000e+00
3.661309623011816257e+02,-1.611765063406241794e+01,-3.334842871722049154e+02,1.000000000000000000e+00
2.388119531549196495e+02,-1.372222937772848752e+02,1.504337397153279881e+02,1.000000000000000000e+00
1.681088958340428121e+02,-4.236730369492327100e+02,9.213477287082537259e+01,1.000000000000000000e+00
1.943113696866522275e+02,-2.621398794962134389e+02,1.430863713181693981e+02,1.000000000000000000e+00
3.770835366588199236e+02,1.972531245929100692e+02,-3.793642642232881030e+02,1.000000000000000000e+00
2.572386714843124196e+02,-7.875452517653445739e+01,1.561148196557323615e+02,1.000000000000000000e+00
3.707016882863143792e+02,-2.968395820820772713e+01,-3.667332096227373768e+02,1.000000000000000000e+00
2.573147372613525476e+02,1.972046401214332718e+02,1.427128623089855353e+02,1.000000000000000000e+00
2.201800496574837496e+02,3.824802736096827971e+02,4.227344754918462399e+01,1.000000000000000000e+00
3.187403973722187516e+02,3.190565731664914750e+01,-2.285940946661050646e+02,1.000000000000000000e+00
3.748511951959582689e+02,-2.050429967890417799e+02,-4.482600878168412919e+02,1.000000000000000000e+00
2.493566645410304830e+02,-6.664412045306043808e+01,8.655433123520253957e+01,1.000000000000000000e+00
3.141231449634109936e+02,2.449693473874337144e+02,5.995148588615059282e+01,1.000000000000000000e+00
2.944180161800267115e+02,1.948889973157122597e+02,1.350318787488091061e+02,1.000000000000000000e+00
2.874728071884547376e+02,-2.586121516923696504e+02,-1.998231426350055528e+02,1.000000000000000000e+00
4.027331688222715229e+02,1.306671256299703145e+02,-4.449704765176575734e+02,1.000000000000000000e+00
2.248486386531430981e+02,4.331054973656198968e+02,2.030967046306457746e+01,1.000000000000000000e+00
2.084898818024559546e+02,-2.425718260473125838e+02,1.320010018520528376e+02,1.000000000000000000e+00
3.284701030187553101e+02,-1.565224751172974038e+02,-2.070952353899541265e+02,1.000000000000000000e+00
3.683151888315531437e+02,2.803937828759970330e+02,-1.920542904180014148e+02,1.000000000000000000e+00
1.163541376655427655e+02,-4.904603154345286384e+02,1.024741422954263754e+02,1.000000000000000000e+00
3.120574673980178773e+02,2.520477245498600780e+02,1.189834311434069178e+02,1.000000000000000000e+00
2.914313464514053180e+02,-8.680028520163178030e+01,2.244655426428647260e+01,1.000000000000000000e+00
-3.267302709037518298e+02,6.152329281769122815e+01,3.804074759895757296e+01,0.000000000000000000e+00
3.045533695943202588e+02,1.516936775934913442e+02,1.475785957561384691e+02,0.000000000000000000e+00
-4.991257055034149062e+02,-7.293335363072804967e+01,-3.567219740421715812e+01,0.000000000000000000e+00
-5.902665297202902366e+02,-4.404559167967261857e+01,-8.399223131328422198e+01,0.000000000000000000e+00
-5.728438697960027639e+02,-1.131979800469838722e+02,-8.044550964784581026e+01,0.000000000000000000e+00
-4.531454253672195023e+02,-1.418312838906733475e+02,-2.823558238973117795e+01,0.000000000000000000e+00
-6.635944178326352016e+01,2.529516606662042477e+02,1.628033156894408648e+02,0.000000000000000000e+00
-2.121178381930157286e+02,3.402885892713304088e+02,9.093957613517346772e+01,0.000000000000000000e+00
-4.996119508044980648e+02,8.033018140259079587e+01,-3.382556924943589394e+01,0.000000000000000000e+00
-6.300719137408277675e+02,-9.941956536339257866e+01,-1.523880401487691643e+02,0.000000000000000000e+00
-6.129311817077664273e+02,-9.030844344565379345e+01,-1.171549766709581206e+02,0.000000000000000000e+00
-6.401253663244881409e+02,-1.380780827253713596e+02,-1.541713470268247761e+02,0.000000000000000000e+00
-8.150970282705502257e+01,3.956766141611195167e+02,1.291912527440614156e+02,0.000000000000000000e+00
1.128607401854556684e+02,-4.662807170944741983e+02,1.244408144039690285e+02,0.000000000000000000e+00
-3.014607918271514109e+02,8.490232737688835130e+01,7.331862255538834461e+01,0.000000000000000000e+00
2.942825811574164163e+02,3.796563587059464453e+02,2.608548033555874568e+01,0.000000000000000000e+00
-5.540494606544602902e+02,6.110328912670687629e+01,-1.054336201341938306e+02,0.000000000000000000e+00
1.511210973172784975e+02,-3.573210412634526278e+02,1.567488126493239520e+02,0.000000000000000000e+00
2.841094554305316251e+02,1.568650513082228315e+02,1.546360371658066128e+02,0.000000000000000000e+00
-5.021593395049459332e+02,-7.553436198914910449e+01,-5.871583902794203169e+01,0.000000000000000000e+00
1.335994832132846852e+02,-4.063917165368881115e+02,1.460323667408305823e+02,0.000000000000000000e+00
1.628231672353551858e+02,-3.262365987558804363e+02,1.718707786850223158e+02,0.000000000000000000e+00
-4.708639581922616344e+02,-2.103797145879994090e+01,4.678091256536968778e+00,0.000000000000000000e+00
7.787214636520189970e+01,2.914397542816424220e+02,1.438629646098758599e+02,0.000000000000000000e+00
-5.537471118895097106e+02,-1.011400026933379195e+02,-7.391456639186435496e+01,0.000000000000000000e+00
2.383959431673877418e+02,3.004008348758442253e+02,1.478578907459965706e+02,0.000000000000000000e+00
-3.601716232886963667e+02,1.935740769844251190e+02,4.756291567661205200e+00,0.000000000000000000e+00
1.929455504582919616e+02,-2.604109178010994015e+02,1.465437516432412508e+02,0.000000000000000000e+00
2.032841153517266832e+02,-1.769111235459339184e+02,1.399785212005704977e+02,0.000000000000000000e+00
-4.625739044987956561e+01,4.200096807012222371e+02,7.634149815888956425e+01,0.000000000000000000e+00
-5.692271124385064240e+02,-1.216702616154013299e+02,-1.011194982207581745e+02,0.000000000000000000e+00
-2.643147162079312693e+02,-1.834647276197151768e+02,3.210555331489954511e+01,0.000000000000000000e+00
-1.317822755108570654e+01,-2.221627608376943215e+02,7.147039394361549114e+01,0.000000000000000000e+00
-5.291161778456710181e+02,-9.481929964773800634e+01,-6.310142258077911492e+01,0.000000000000000000e+00
-1.374385570658212146e+02,1.938029892114052757e+02,1.338707255946065970e+02,0.000000000000000000e+00
-1.228757928945059490e+02,2.040819165030709996e+02,1.470541912857100613e+02,0.000000000000000000e+00
-3.358979001068204866e+02,4.318067359380417258e+01,4.248342170567239151e+01,0.000000000000000000e+00
2.616089552804721734e+02,-8.436712818085675636e+00,1.573040977218987564e+02,0.000000000000000000e+00
-2.708956665131439081e+02,2.800700055450137711e+02,5.541726822782801065e+01,0.000000000000000000e+00
-6.737881207449252940e+01,4.039396928473834123e+02,1.068048627734048353e+02,0.000000000000000000e+00
