[[  0.  35.  35.  35.  35.  35.  35.  35.  35.  35.  35.]
 [ 45.   0.  45.  45.  45.  45.  45.  45.  45.  45.  45.]
 [ 21.  21.   0.  21.  21.  21.  21.  21.  21.  21.  21.]
 [ 29.  29.  29.   0.  29.  29.  29.  29.  29.  29.  29.]
 [ 28.  28.  28.  28.   0.  28.  28.  28.  28.  28.  28.]
 [ 21.  21.  21.  21.  21.   0.  21.  21.  21.  21.  21.]
 [ 39.  39.  39.  39.  39.  39.   0.  39.  39.  39.  39.]
 [ 31.  31.  31.  31.  31.  31.  31.   0.  31.  31.  31.]
 [129. 129. 129. 129. 129. 129. 129. 129.   0. 129. 129.]
 [144. 144. 144. 144. 144. 144. 144. 144. 144.   0. 144.]
 [ 40.  40.  40.  40.  40.  40.  40.  40.  40.  40.   0.]]
